time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,required_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,forward_train_delay,forward_clear_remaining_time,forward_departed_next,standard_headway,target_speed_no_stop,forward_observed_delay,reward
178.29999999999964,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,0.7999999999999999,ブレーキ（減速）,4.200000000000001,70.0,30.3,17.15,70.0,51.6,1.7,13.98,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方93.5m先を23.7km/h,後続列車なし,60.0,0.0,発車済み,60.0,70.0,0.0,-0.05
149.99999999999955,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,3.600000000000002,惰行,0.1,70.0,11.0,7.48,12.2,55.4,28.0,2.66,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方55.8m先を0.0km/h,後続列車なし,90.0,32.0,未発車,30.0,13.0,0.0,-0.05
155.29999999999902,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,3.1000000000000014,力行（加速）,0.7999999999999999,70.0,7.7,0,12.6,52.4,22.7,0.0,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方52.8m先を0.0km/h,後続列車なし,90.0,26.7,未発車,30.0,12.6,0.0,-0.05
177.79999999999916,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,0.1,ブレーキ（減速）,0.1,70.0,0.0,0,70.0,45.6,0.2,0.0,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方46.0m先を0.0km/h,後続列車なし,90.0,15.0,未発車,30.0,11.7,10.8,-0.05
151.79999999999922,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,0.4,惰行,2.9000000000000012,70.0,8.3,0.85,11.6,52.9,26.2,0.03,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方53.2m先を0.0km/h,後続列車なし,90.0,30.2,未発車,30.0,12.7,0.0,-0.05
153.89999999999966,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,0.7,力行（加速）,0.1,70.0,12.7,16.81,16.8,57.3,24.1,13.44,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方57.7m先を0.0km/h,後続列車なし,60.0,15.0,未発車,60.0,13.2,16.9,-0.05
172.49999999999883,Train11,次駅への減速フェーズ（駅手前400m以内）,力行（加速）中,0.2,惰行,0.5,70.0,16.1,0.28,70.0,51.0,7.5,0.0,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方62.3m先を13.5km/h,後続列車なし,90.0,0.0,発車済み,30.0,70.0,0.0,-0.05
139.29999999999998,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,0.1,ブレーキ（減速）,6.299999999999999,70.0,31.0,29.01,29.0,95.1,38.7,39.85,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方95.5m先を0.0km/h,後続列車なし,90.0,42.7,未発車,30.0,17.0,0.0,-0.05
141.5999999999998,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,3.0000000000000013,惰行,0.7,70.0,22.0,19.48,19.5,72.6,36.4,18.02,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方73.0m先を0.0km/h,後続列車なし,90.0,40.4,未発車,30.0,14.9,0.0,-0.05
164.79999999999933,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,2.700000000000001,力行（加速）,0.1,70.0,7.8,0,70.0,52.5,13.2,0.0,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方52.9m先を0.0km/h,後続列車なし,90.0,17.2,未発車,30.0,12.6,0.0,-0.05
